Sensor	R1	R2
mutant1224	0.07047337398203368	0.059782160058704875
mutant1225	0.2923304105088678	0.23193325983005036
mutant1226	0.06889703000646444	0.06905849745209666
mutant1227	0.05153413055020792	0.05
mutant1228	0.24184511921478824	0.4
mutant1229	0.07175189378989681	0.0503337622656545
mutant123	0.05	0.06562680950544893
mutant1230	0.21171995929785462	0.3161420273148505
mutant1231	0.06366703636250051	0.06783860019195201
mutant1232	0.27017483959478433	0.15803088277504823
mutant1233	0.05	0.05
mutant1234		0.05
mutant1235	0.05	0.05
mutant1236	0.06449241699765533	0.07262121010467353
mutant1237	0.06521126860603266	0.2916218216800571
mutant1238	0.059679263934293375	0.06559523230221515
mutant1239	0.25475863735675564	0.39199691239744416
mutant124	0.07166270654067824	0.07447505085252179
mutant1240	0.29962178057764266	0.31425287585570716
mutant1241	0.07060895751476279	0.058446564068247255
mutant1242	0.2207146751763005	0.06265782376944408
mutant1243	0.17664529073922158	0.05
mutant1244	0.4	0.4
mutant1245	0.0664403745224687	0.06362369340082635
mutant1246	0.4	0.3285765364190171
mutant1247	0.06288403314608887	0.07080883431119464
mutant1248	0.062134958713645175	0.0639045682994332
mutant1249	0.07071298502048627	0.3355202501548123
mutant125	0.32570467077918647	0.22138453672278519
mutant1250	0.0700916474640498	0.06515528449301343
mutant1251	0.3014054161997495	0.24814184739401463
mutant1252	0.4	0.39148260375193783
mutant1253	0.2772742489225378	0.2486599551454971
mutant1254	0.341428820728692	0.20325959634991658
mutant1255	0.05178975921436177	0.05148089651003992
mutant1256	0.31070271588573795	0.24844401516510467
mutant1257	0.06280788508210805	0.20017681194899764
mutant1258	0.05	0.16346571386963327
mutant1259	0.26982692754704896	0.196478122943326
mutant126	0.06186824466802411	
mutant1260	0.10338983050847458	0.05025281852111221
mutant1261	0.305279174166874	0.4
mutant1262	0.2937994048402548	0.06800062918106817
mutant1263	0.376271186440678	0.06186440677966102
mutant1264	0.06996381476717561	0.06696913540564209
mutant1265	0.06799183397065282	0.07118067358904595
mutant1266	0.3410793094824323	0.3570364031710549
mutant1267	0.3540626693831598	0.3725857490771695
mutant1268	0.06369261372111679	0.06467766411472342
